Urn,Label
urn:cts:chron:jsmv:1.1:2.84,Velleius Paterculus The Roman History 2.84
urn:cts:chron:jsmv:1.1:2.87,Velleius Paterculus The Roman History 2.87
urn:cts:chron:jsmv:2.1,Ptolemy Almagest
urn.cts:chron:jsmv:2.2,Ptolemy Canon of Kings
urn:cts:chron:jsmv:3.1:34.29,Jerome Chronicle Regnal Era 34 Row 29 (Kinney Translation)
urn:cts:chron:jsmv:3.2:34.29,Jerome chronicle (manuscript Bibliothèque de Genève Ms. lat. 49)
urn:cite2:chron:jsmv:event:1,Battle of Actium
urn:cite2:chron:jsmv:event:2,Cleopatra death
urn:cite2:chron:jsmv:event:olympiad:187.4,187 olympiad year 4
urn:cite2:chron:jsmv:event:olympiad:218.4,218 olympiad year 4
urn:cite2:chron:jsmv:event:olympiad:219.2,219 olympiad year 2
urn:cite2:chron:jsmv:eponym:1,consulship of Messala
urn:cite2:chron:pedersen:53,Occultation of [beta] Scorpii by the Moon
urn:cite2:chron:heraclian:53,End of Nervas rule beginning of Trajan
urn:cite2:chron:epoch:ptol2,Epoch of Philip in Ptolemy Canon of Kings
