urn identifier: Astronomical event: Modern year: Modern month: day: observer location
urn:cite2:chron:astron:1,total lunar eclipse: 721BC
urn:cite2:chron:astron:2,partial lunar eclipse: 720BC
urn:cite2:chron:astron:3,partial lunar eclipse: 720BC
urn:cite2:chron:astron:4,partial lunar eclipse: 621BC
urn:cite2:chron:astron:5,partial lunar eclipse: 523BC
urn:cite2:chron:astron:6,partial lunar eclipse: 502BC
urn:cite2:chron:astron:7,partial lunar eclipse: 491BC
urn:cite2:chron:astron:9,partial lunar eclipse: 383BC
urn:cite2:chron:astron:10,partial lunar eclipse: 382BC
urn:cite2:chron:astron:11,total lunar eclipse: 382BC
urn:cite2:chron:astron:11,partial lunar eclipse: 201BC
urn:cite2:chron:astron:30,total lunar eclipse: 200BC
urn:cite2:chron:astron:31,total lunar eclipse: 200BC
urn:cite2:chron:astron:32,partial lunar eclipse: 174Bc
urn:cite2:chron:astron:33,total lunar eclipse: 146BC
urn:cite2:chron:astron:39,partial lunar eclipse: 141BC
urn:cite2:chron:astron:42,total lunar eclipse: 135BC
urn:cite2:chron:astron:43,partial lunar eclipse: 125AD
urn:cite2:chron:astron:54,total lunar eclipse: 133AD
urn:cite2:chron:astron:63,partial lunar eclipse: 134AD
urn:cite2:chron:astron:69,partial lunar eclipse: 136AD
