URN identifier,Event
urn:cite2:chron:canon:1,Reign of Cyrus
urn:cite2:chron:sic:col:1,Foundation of Naxos
urn:cite2:chron:sic:col:10,Foundation of Selenus
urn:cite2:chron:sic:col:11,Foundation of Himera
urn:cite2:chron:sic:col:12,Foundation of Camarina
urn:cite2:chron:sic:col:13,Foundation of Acragas
urn:cite2:chron:sic:col:2,Foundation of Syracuse
urn:cite2:chron:sic:col:3,Foundation of Catana
urn:cite2:chron:sic:col:4,Foundation of Leontini
urn:cite2:chron:sic:col:14,Foundation of Chersonesus
urn:cite2:chron:sic:col:5,Foundation of Thapsus
urn:cite2:chron:sic:col:15,Foundation of Gela
urn:cite2:chron:sic:col:6,Foundation of Selenus
urn:cite2:chron:sic:col:7,Foundation of Gela
urn:cite2:chron:sic:col:8,Foundation of Acrae
urn:cite2:chron:sic:col:9,Foundation of Casmenae
urn:cite2:chron:sic:col:16,Foundation of Megara Hyblaea
