Source,Event,Chronological relation,Units or system,Event2,Number of units
Ptolemy,1,precedes,days,2,354
Ptolemy,2,precedes,days,3,177
Ptolemy,3,precedes,days,4,36387
Ptolemy,4,precedes,days,5,35875
Ptolemy,5,precedes,days,6,7426
Ptolemy,6,precedes,days,7,3805
Ptolemy,7,precedes,days,9,40053
Ptolemy,9,precedes,days,10,178
Ptolemy,10,precedes,days,11,172
Ptolemy,11,precedes,days,12,31784
Ptolemy,11,precedes,days,30,65664
Ptolemy,30,precedes,days,31,173
Ptolemy,31,precedes,days,32,176
Ptolemy,32,precedes,days,33,9727
Ptolemy,33,precedes,days,39,10013
Ptolemy,39,precedes,days,42,1582
Ptolemy,42,precedes,days,43,1582
Ptolemy,43,precedes,days,54,94062
Ptolemy,54,precedes,days,63,2948
Ptolemy,63,precedes,days,69,532
Ptolemy,69,precedes,days,73,502
NASA,1,precedes,days,2,354
NASA,2,precedes,days,3,175
NASA,3,precedes,days,4,36029
NASA,4,precedes,days,5,35879
NASA,5,precedes,days,6,7796
NASA,6,precedes,days,7,3809
NASA,7,precedes,days,9,39688
NASA,9,precedes,days,10,176
NASA,10,precedes,days,11,177
NASA,11,precedes,days,30,66029
NASA,30,precedes,days,31,178
NASA,31,precedes,days,32,177
NASA,32,precedes,days,33,9362
NASA,33,precedes,days,39,10216
NASA,39,precedes,days,42,1742
NASA,42,precedes,days,43,2244
NASA,43,precedes,days,54,94960
NASA,54,precedes,days,63,2952
NASA,63,precedes,days,69,562
NASA,69,precedes,days,73,502
