Source,Event,Chronological relation,Units or system,Event2,Number of units
Rotroff,Saltcellars from Vergina,precedes,relative,Tomb II Vergina,0
Rotroff,Saltcellars from Vergina,contemporary,relative,Agora Saltcellars,0
Agora excavations,Saltcellar P27769,precedes,relative,Agora Deposit H 16:7,0
Agora excavations,Saltcellar P19358, precedes,relative,Agora Deposit D 16:1,0
Agora excavations,Saltcellar P3509,precedes,relative,Agora Deposit F 11:2 (Tholos),0
Agora excavations,Saltcellar P28137,precedes,relative,Agora Deposit F 16:8 (Menon),0
Agora excavations,Saltcellar P28023,precedes,relative,Agora Deposit F 16:8,0
Agora excavations,Tholos coin N3333,precedes,relative,Agora Deposit F 11:2,0
Agora excavations,Tholos coin N3210,contemporary,relative,Tholos coin N3333,0
Agora excavations,Tholos coin N3211,precedes,relative,Tholos coin N3333,0
Agora excavations,Tholos coin N3212,contemporary,relative,Tholos coin N3333,0
Agora excavations,Tholos coin N3231,precedes,relative, Tholos coin N3333,0
Agora excavations,Tholos coin N3266,precedes,relative,Tholos coin N3333,0
Agora excavations,Tholos coin N3287,precedes,relative,Tholos coin N3333,0
Miller,Koroni deposit,contemporary,relative,Chremonidean War,0
Miller,Koroni plates,precede,relative,Koroni deposit,0
Miller,Koroni kantharoi,precede,relative,Koroni deposit,0
Vanderpool,Koroni coin 54,precedes,relative,Koroni deposit,0
Vanderpool,Koroni coin 54,contemporary,relative,reign of Ptolemy II Philadelphos,0
?,Koroni plate PR31,follow,relative,Menon Plate P28134,0
?,Koroni plate PR31,follow,relative,Menon Plate P28033,0
?,Koroni plate PR32,follow,relative,Menon Plate P28134,0
?,Koroni plate PR32,follow,relative,Menon Plate P28033,0
?,Koroni plate PR33 follow,relative,Menon Plate P28134,0
?,Koroni plate PR33 follow,relative,Menon Plate P28033,0
?,Koroni plate PR34,follows,relative,Menon plate P28034,0
Rotroff,Menon plate P28034,contemporary,relative,Tholos plate P4421,0
Rotroff,Tholos plate P4421,contemporary,relative,Peristyle plate P31098,0
Rotroff,Tholos plate P4421,contemporary,relative,Peristyle plate P31111,0
Rotroff,Peristyle plate P31098,contemporary,relative,Peristyle coin N3564,0
Rotroff,Peristyle plate P31111,contemporary,relative,Peristyle coin N3564,0
Rotroff,Peristyle coin N3564,contemporary,relative,Tholos coin N333,0
Miller,Menon kantharos P27992,contemporary,relative,Koroni kantharoi PR16,0
Miller,Menon kantharos P27992,contemporary,relative,Koroni kantharoi PR17,0
Miller,Menon kantharos P27992,contemporary,relative,Koroni kantharoi PR18,0
