Source of evidence,event to date,relation,type of related object,related event,units of difference
PtolemyCanon,urn:cite:chron:olympiadyear.22.3,precedes,hears,urn:cite2:chron:epoch:ptol1,55
PtolemyCanon,urn:cite:chron:olympiadyear.22.3,precedes,years,urn:cite:chron:olympiadyear.22.4,1
PtolemyCanon,urn:cite:chron:olympiadyear.22.4,Contemporary,Eponym,urn:cite2:chron:jer_macedonians:ruler4.year46,0
PtolemyCanon,urn:cite2:chron:jer_macedonians:ruler4,contemporary,foundation,urn:cite2:chron:sic:col:7,0
PtolemyCanon,urn:cite:chron:olympiadyear.11.2,follows,years,urn:cite2:chron:epoch:ptol1,8
PtolemyCanon,urn:cite:chron:olympiadyear.12.3,precedes,years,urn:cite2:chron:epoch:ptol1,19
Ptolemy,urn:cite:chron:olympiadyear.22.4,contemporary,years,Perdiccas 46 years after start of reign,0
Ptolemy,Perdiccas,contemporary,foundation,urn:cite2:chron:sic:col:7,0
Ptolemy,Olympiad year 11.2,follows,eponym,urn:cite2:chron:epoch:ptol1,8
Ptolemy,Olympiad year 12.3,precedes,eponym,urn:cite2:chron:epoch:ptol1,19
Ptolemy,Olympiad year 22.3,precedes,eponym,urn:cite2:chron:epoch:ptol1,55
Ptolemy,Naxos,precedes,eponym,urn:cite2:chron:jer_persians:ruler1,203
PtolemyCanon,urn:cite2:chron:sic:col:1,precedes,epoymn,urn:cite2:chron:jer_persians:ruler1,203
Ptolemy,Catena,precedes,eponym,urn:cite2:chron:jer_persians:ruler1,207
PtolemyCanon,urn:cite2:chron:sic:col:3,precedes,eponym,urn:cite2:chron:jer_persians:ruler1,207
Ptolemy,urn:cite2:chron:sic:col:7,precedes,eponym,urn:cite2:chron:jer_persians:ruler1,161
PtolemyCanon,urn:cite2:chron:sic:col:7,precedes,eponym,urn:cite2:chron:jer_persians:ruler1,161
PtolemyCanon,urn:cite2:chron:jer_persians:ruler1,follows,years,urn:cite2:chron:epoch:ptol1,209
