Ruler ID,Label
urn:cite2:chron:astroruler:1,Of Nabonasar
urn:cite2:chron:astroruler:2,Of Nadios
urn:cite2:chron:astroruler:3,Chinzeros and of Poros
urn:cite2:chron:astroruler:4,Of Iougaios
urn:cite2:chron:astroruler:5,Of Mardokempados
urn:cite2:chron:jer_persians:ruler4,Of Arkaianos
urn:cite2:chron:astroruler:6,Of the first not ruled by a king
urn:cite2:chron:jer_persians:ruler2,Of Belibos
urn:cite2:chron:jer_persians:ruler7,Of Apaanadios
urn:cite2:chron:astroruler:7,Of Regebelos
urn:cite2:chron:astroruler:8,Of Mesessemopdakos
urn:cite2:chron:astroruler:9,Of the second not ruled by a king
urn:cite2:chron:astroruler:10,Of Asapidinos
urn:cite2:chron:jer_persians:ruler1,Of Saosdouchinos
urn:cite2:chron:jer_persians:ruler6,Of Kiniladanos
urn:cite2:chron:astroruler:11,Of Nabopollasaros
urn:cite2:chron:astroruler:12,Of Nabokolasaros
urn:cite2:chron:astroruler:13,Of Illoaroudamos
urn:cite2:chron:jer_persians:ruler9,Of Nepikasolassapos
urn:cite2:chron:astroruler:14,Of Nabonadios of the Persos kings
urn:cite2:chron:jer_persians:ruler1,Of Kyros
urn:cite2:chron:jer_persians:ruler2,Of Kambusos
urn:cite2:chron:jer_persians:ruler3,Of Darios the First
urn:cite2:chron:jer_persians:ruler4,Of Xerxos
urn:cite2:chron:jer_persians:ruler5,Of Artaxerxos the First
urn:cite2:chron:jer_persians:ruler6,Of Darios the Second
urn:cite2:chron:jer_persians:ruler7,Of Artaxerxos the Second
urn:cite2:chron:jer_persians:ruler8,Of Ochos
urn:cite2:chron:jer_persians:ruler9,Of Arogos
urn:cite2:chron:jer_persians:ruler10,Of Darios the Third
urn:cite2:chron:jer_macedonians:ruler19,Of Alexandros the Macedonian
urn:cite2:chron:jer_macedonians:ruler20,Of Philippos who was after the founder Alexandros
urn:cite2:chron:jer_macedonians:ruler21,Of the other Alexandros
urn:cite2:chron:jer_alexandrians:ruler1,Ptolemy of Lagos
urn:cite2:chron:jer_alexandrians:ruler2,Ptolemy Philadelphos
urn:cite2:chron:jer_alexandrians:ruler3,Euergetes the First
urn:cite2:chron:jer_alexandrians:ruler4,Philopator
urn:cite2:chron:jer_alexandrians:ruler5,Epiphanis
urn:cite2:chron:jer_alexandrians:ruler6,Philometor
urn:cite2:chron:jer_alexandrians:ruler7,Euergetes the Second
urn:cite2:chron:jer_alexandrians:ruler8,Soter
urn:cite2:chron:jer_alexandrians:ruler11,The Young Dionysos
urn:cite2:chron:jer_alexandrians:ruler12,Cleopatra became queen of Rhomaios
urn:cite2:chron:jer_romans:ruler2,Augoustos
urn:cite2:chron:jer_romans:ruler3,Tiberios
urn:cite2:chron:jer_romans:ruler4,Gaios Ioulios Kesar
urn:cite2:chron:jer_romans:ruler5,Claudios
urn:cite2:chron:jer_romans:ruler6,Of Nero
urn:cite2:chron:jer_romans:ruler7,Ouespysianos
urn:cite2:chron:jer_romans:ruler8,Titos
urn:cite2:chron:jer_romans:ruler9,Dometianos
urn:cite2:chron:jer_romans:ruler10,Nerouas
urn:cite2:chron:jer_romans:ruler11,Traianos
urn:cite2:chron:jer_romans:ruler12,Adrianos
urn:cite2:chron:jer_romans:ruler13,Ailios Antoninos
urn:cite2:chron:jer_romans:ruler14,Marcos 
urn:cite2:chron:jer_romans:ruler17,Seueros and Antoninos
urn:cite2:chron:jer_romans:ruler20,The young Antoninos
